Car,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Tata Indica LSI,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Celebration Diesel,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W11 AT BSIV,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,167223,Diesel,Dealer,Automatic,First Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
Mitsubishi Outlander 2.4,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
Mahindra Marazzo M8 8Str,2011,1375000,60000,Diesel,Individual,Automatic,First Owner
Datsun RediGO T Option,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2012,220000,100000,Diesel,Individual,Manual,Second Owner
Maruti Ertiga VXI,2011,130000,80000,Diesel,Individual,Manual,Second Owner
Hyundai EON Magna Plus,2012,159000,68000,Diesel,Dealer,Manual,First Owner
Chevrolet Sail Hatchback LS ABS,2012,180000,50000,Petrol,Individual,Manual,First Owner
Hyundai Santro GLS I - Euro I,2016,320000,40000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,2010,240000,81925,Diesel,Individual,Manual,First Owner
Ford Figo Diesel Celebration Edition,2015,650000,50000,Diesel,Individual,Automatic,First Owner
Volkswagen Polo Diesel Trendline 1.2L,2015,300000,175000,Diesel,Individual,Manual,First Owner
Hyundai Santro GLS I - Euro I,2013,390000,33000,Diesel,Individual,Manual,Second Owner
Hyundai Xcent 1.2 Kappa S,2012,180000,120000,Diesel,Individual,Manual,First Owner
BMW 7 Series 730Ld,2015,260000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo CS Emax CNG GLX,2014,350000,30000,Petrol,Individual,Manual,First Owner
Maruti Ritz VDi,2013,200000,120000,Diesel,Individual,Manual,Second Owner
Mahindra Xylo E4 BS III,2009,125000,70000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2012,130000,80000,Petrol,Individual,Manual,First Owner
Maruti Wagon R AMT VXI,2012,125000,28000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GLS,2012,400000,120000,Diesel,Individual,Manual,Third Owner
Hyundai Getz GLS,2007,160000,120000,Diesel,Individual,Manual,Third Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,400000,120000,Diesel,Individual,Manual,First Owner
Tata Nano STD,2010,280000,350000,Diesel,Individual,Manual,Second Owner
Hyundai Verna CRDi,2015,250000,40000,Petrol,Individual,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2015,315000,45000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Terra 1.4 TDI,2018,270000,19000,Petrol,Individual,Manual,Second Owner
